Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 20, 2019",4070.79,4089.46,4031.11,4087.48,10175916388,71942444088
"Mar 19, 2019",4032.69,4082.22,4023.81,4071.19,9344919956,71647703828
"Mar 18, 2019",4029.97,4071.56,4009.12,4032.51,9646954186,70958165407
"Mar 17, 2019",4047.72,4054.12,4006.41,4025.23,8221625400,70821939585
"Mar 16, 2019",3963.9,4077.04,3961.66,4048.73,9856166973,71227967573
"Mar 15, 2019",3926.66,3968.54,3914.02,3960.91,9394210605,69675002377
"Mar 14, 2019",3905.58,3946.5,3901.3,3924.37,10480789570,69024696307
"Mar 13, 2019",3913.05,3926.6,3891.9,3906.72,9469184841,68706700381
"Mar 12, 2019",3903.76,3926.89,3863.56,3909.16,9809887079,68743000581
"Mar 11, 2019",3953.74,3966.38,3889.24,3905.23,10125901903,68666928025
"Mar 10, 2019",3966.17,3966.17,3924.38,3951.6,9713267607,69475297370
"Mar 09, 2019",3894.55,3987.24,3892.39,3963.31,10796103518,69674508655
"Mar 08, 2019",3913.23,3950.43,3875.23,3901.13,10638638944,68574579320
"Mar 07, 2019",3903.38,3939.37,3894.11,3911.48,9584165519,68749421311
"Mar 06, 2019",3897.08,3919.51,3871.46,3903.94,9175291529,68609885776
"Mar 05, 2019",3759.83,3903.92,3745.18,3896.38,10174126415,68470655400
"Mar 04, 2019",3845.09,3867.38,3733.75,3761.56,9029175788,66094551587
"Mar 03, 2019",3862.27,3875.48,3836.91,3847.18,7253558152,67592376373
"Mar 02, 2019",3855.32,3874.61,3832.13,3864.42,7578786076,67888255371
"Mar 01, 2019",3853.76,3907.8,3851.69,3859.58,7661247975,67796965743
"Feb 28, 2019",3848.26,3906.06,3845.82,3854.79,8399767798,67704774107
"Feb 27, 2019",3857.48,3888.8,3787.06,3851.05,8301309684,67631949500
"Feb 26, 2019",3878.7,3891.58,3837.99,3854.36,7931218996,67683296223
"Feb 25, 2019",3807.0,3913.71,3807.0,3882.7,9318796067,68173204651
"Feb 24, 2019",4145.46,4210.64,3793.71,3810.43,10794227451,66897483404
"Feb 23, 2019",3998.92,4166.29,3968.73,4142.53,8922258316,72720867208
"Feb 22, 2019",3952.41,4006.54,3950.82,4005.53,7826525254,70308555857
"Feb 21, 2019",4000.26,4010.01,3940.11,3954.12,7775128102,69398333876
"Feb 20, 2019",3946.68,4000.49,3926.25,3999.82,8693373948,70194350042
"Feb 19, 2019",3911.66,4010.88,3908.15,3947.09,9933626655,69262673238
"Feb 18, 2019",3671.37,3936.67,3669.98,3915.71,9908216640,68704389994
